# playback: video1_720p60.playback.raw capture: video1_720p60.capture.raw
# Timestamp: 2017-01-21 18:51:22.234760
# frame_index,sent_cpu_timestamp,received_cpu_timestamp,delay_cpu_time,sent_decklink_timestamp,received_decklink_time,delay_decklink_time,ssim_total,ssim_Y,ssim_Cb,ssim_Cr
472,1485049920420063,1485049920906046,485983,80399249579,80399734935,485356,0.938625,0.871932,0.974844,0.969
480,1485049920553505,1485049921039558,486053,80399383006,80399868414,485408,0.938917,0.87204,0.975615,0.969096
488,1485049920687016,1485049921189723,502707,80399516483,80400018549,502066,0.939863,0.874664,0.975272,0.969653
496,1485049920820466,1485049921306485,486019,80399649931,80400135321,485390,0.940094,0.876057,0.974923,0.969303
504,1485049920953887,1485049921439948,486061,80399783386,80400268773,485387,0.939733,0.875316,0.97451,0.969371
512,1485049921087309,1485049921573391,486082,80399916814,80400402226,485412,0.939442,0.8725,0.975741,0.970083
520,1485049921220742,1485049921690137,469395,80400050266,80400518969,468703,0.939317,0.872884,0.975322,0.969744
528,1485049921354233,1485049921806857,452624,80400183746,80400635739,451993,0.939226,0.87346,0.974818,0.969401
536,1485049921487679,1485049921940415,452736,80400317171,80400769219,452048,0.939268,0.873875,0.974737,0.9691
544,1485049921621171,1485049922057195,436024,80400450647,80400885991,435344,0.939587,0.873368,0.975443,0.9699
552,1485049921754567,1485049922190548,435981,80400584076,80401019414,435338,0.939536,0.873561,0.975519,0.969527
560,1485049921888031,1485049922307320,419289,80400717527,80401136185,418658,0.94096,0.875387,0.976526,0.970967
568,1485049922021527,1485049922440766,419239,80400851009,80401269637,418628,0.949522,0.892175,0.981148,0.975241
576,1485049922154942,1485049922557605,402663,80400984462,80401386433,401971,0.944336,0.882865,0.977599,0.972545
584,1485049922288434,1485049922691001,402567,80401117914,80401519862,401948,0.950697,0.895841,0.981225,0.975024
592,1485049922421820,1485049922807846,386026,80401251337,80401636658,385321,0.953569,0.902681,0.981897,0.9761
600,1485049922555343,1485049922941191,385848,80401384822,80401770083,385261,0.954097,0.901388,0.983929,0.976973
608,1485049922688788,1485049923058016,369228,80401518244,80401886883,368639,0.960117,0.917811,0.984113,0.978428
616,1485049922822256,1485049923191437,369181,80401651697,80402020307,368610,0.964818,0.928485,0.985317,0.980652
624,1485049922955626,1485049923324954,369328,80401785145,80402153787,368642,0.967314,0.934581,0.98606,0.981301
632,1485049923089116,1485049923441730,352614,80401918626,80402270558,351932,0.975247,0.947509,0.991362,0.9868
640,1485049923222527,1485049923575146,352619,80402052050,80402403985,351935,0.97951,0.957454,0.991654,0.9894
648,1485049923356007,1485049923708566,352559,80402185502,80402537435,351933,0.977967,0.957849,0.989328,0.986725
656,1485049923489463,1485049923858747,369284,80402318955,80402687569,368614,0.963683,0.931341,0.981397,0.9783
664,1485049923622938,1485049923992195,369257,80402452434,80402821050,368616,0.952215,0.904852,0.978576,0.973218
672,1485049923756409,1485049924125617,369208,80402585884,80402954473,368589,0.937175,0.874383,0.972535,0.964607
680,1485049923889934,1485049924259066,369132,80402719341,80403087951,368610,0.925494,0.850834,0.966048,0.959
