,signal_delay_mean,signal_delay_p5,signal_delay_p95,ssim_mean,ssim_p5,ssim_p95,,signal_delay_p95,ssim_mean
Salsify4,299.9,124.66,374.88,15.0247229877,11.6653,19.1665,,374.88,15.0247229877
Salsify2,282.09,112.19,362.4,15.3661389938,12.6676,19.0623,,0.966709347,0.3414160061
Apprtc,934.69,192.52,4729.94,13.3533873642,10.3511,15.9352,,12.6172108408,-1.6713356236
Apprtc-svc,775.25,160.91,3547.24,14.0534687683,12.007,15.4948,,9.4623346137,-0.9712542195
Facetime,469.45,196.21,1023.58,13.2854025767,9.0261,15.5453,,2.7304204012,-1.7393204111
Hangouts,846.37,294.32,1862.38,11.1985537126,8.584,13.2547,,4.9679364063,-3.8261692752
Skype,322.05,87.38,557.43,8.5467129291,7.1305,9.414,,1.4869558259,-6.4780100587
