# base timestamp: 1517626152445
60.319 61.483 15.2218
60.552 61.700 13.4133
60.752 61.833 11.7963
60.936 61.933 10.0257
61.119 61.983 9.17311
61.303 62.050 8.77605
61.470 62.083 8.6836
61.603 62.150 8.58011
61.770 62.200 8.51387
61.937 62.267 8.50466
62.070 62.317 8.35993
62.120 62.367 8.38265
62.154 62.383 8.44345
62.187 62.434 8.51515
62.237 62.467 8.47396
62.320 62.550 8.80511
62.370 62.650 9.34356
62.420 62.767 10.4432
62.621 62.850 9.97452
62.671 62.867 9.75165
62.721 62.917 9.82958
62.804 62.967 9.42951
62.837 63.017 9.58604
62.871 63.084 9.89185
62.904 63.101 9.73585
62.938 63.134 9.8489
62.988 63.151 9.68113
63.021 63.184 9.53137
63.054 63.251 9.63021
63.088 63.301 9.90648
63.138 63.318 9.73383
63.171 63.351 9.78405
63.221 63.451 10.3389
63.255 63.468 10.178
63.288 63.484 10.2276
63.321 63.584 10.9212
63.388 63.618 10.5492
63.438 63.685 10.8084
63.555 63.885 11.8925
63.655 63.918 11.4345
63.788 63.952 10.7593
63.822 64.002 11.0427
63.888 64.118 11.4339
63.922 64.135 11.1908
63.972 64.185 11.2294
64.022 64.235 10.8793
64.089 64.302 11.0573
64.122 64.335 10.8606
64.172 64.385 10.855
64.255 64.419 10.4431
64.289 64.452 10.5833
64.322 64.519 10.9567
64.356 64.552 10.8033
64.389 64.602 10.9134
64.422 64.686 11.5481
64.456 64.719 11.2893
64.506 64.736 10.8946
64.556 64.786 10.8818
64.656 64.902 11.1294
64.689 64.936 11.012
64.739 65.041 11.0308
64.789 65.045 10.7373
64.856 65.103 10.6807
64.889 65.119 10.5365
64.973 65.203 10.5049
65.006 65.219 10.2453
65.040 65.269 10.2943
65.090 65.319 9.98835
65.156 65.370 10.11
65.190 65.436 10.4288
65.223 65.503 10.9895
65.256 65.536 10.7559
65.290 65.603 10.9086
65.323 65.703 11.634
65.490 65.770 11.0726
65.573 65.820 10.725
65.673 65.870 10.9402
65.707 65.887 10.8443
65.740 65.920 10.9336
65.774 65.970 11.2042
65.807 65.987 11.0797
65.840 66.037 11.1513
65.890 66.104 11.4943
65.924 66.137 11.3276
65.957 66.187 11.4329
66.007 66.204 11.1453
66.040 66.254 10.9755
66.074 66.304 10.9967
66.124 66.320 11.1577
66.157 66.404 11.5539
66.191 66.437 11.3625
66.224 66.487 11.4885
66.274 66.637 11.9253
66.407 66.704 11.5235
66.558 68.339 11.2707
66.591 68.406 11.4558
66.624 68.556 11.3252
66.758 70.107 10.7446
66.891 70.191 10.4097
67.041 70.241 9.9986
67.191 70.307 9.58393
67.325 70.407 9.68205
67.458 70.458 9.51716
67.625 70.491 9.51168
67.775 70.541 9.34039
67.926 70.591 8.66687
68.076 70.674 8.57387
68.226 70.741 8.78328
68.376 70.791 8.76659
68.509 70.858 8.68861
68.660 70.925 8.72399
68.826 71.008 8.76725
68.993 71.058 8.7977
69.177 71.142 8.74404
69.327 71.242 8.76219
69.510 71.342 8.77014
69.677 71.408 8.70564
69.861 71.509 8.63411
70.027 71.575 8.59778
70.228 71.659 8.53978
70.378 71.742 8.53121
70.545 71.792 8.49717
70.695 71.876 8.57985
70.845 71.909 8.50719
71.028 71.992 8.52
71.195 72.059 8.63458
71.362 72.109 8.71783
71.496 72.176 8.66809
71.679 72.226 8.68623
71.812 72.259 8.58778
71.946 72.326 8.52705
72.029 72.343 8.55609
72.129 72.443 8.90859
72.229 72.543 9.57689
72.280 72.660 10.3787
72.330 72.710 10.1213
72.380 72.760 10.3274
72.546 72.860 9.67032
72.647 72.893 9.3557
72.730 72.927 9.26814
72.747 72.993 9.48809
72.830 73.060 9.74266
72.880 73.160 10.341
72.997 73.227 9.85158
73.130 73.377 9.92827
73.180 73.427 9.64209
73.230 73.477 9.85559
73.381 73.644 10.5111
